grid_size,MAE,RMSE,Runtime
5,0.4151860369206969,0.5083144567196223,0.00670933723449707
10,0.4076700146762915,0.5051188289224481,0.0056858062744140625
20,0.40817966636356584,0.5073083819092851,0.0054781436920166016
30,0.40430199990033183,0.4982940872206115,0.005987644195556641
