method,epsilon,MAE(°),RMSE(°),MeanDist(m),MaxDist(m),TLR,DDA(°),MSDR(°),KL_Div,Heatmap_Corr,SensZone_Err,NonSensZone_Err
GAPBM,1.0,0.092343,0.102695,13584.08,26927.45,1384.5062,90.1968,0.145232,23.415935,-0.006782,0.144004,0.134989
FixedDP,1.0,0.086446,0.097771,12817.05,26927.45,1343.7659,90.269,0.138269,17.192729,-0.00815,0.129543,0.130818
